time,P,G(i),H_sun,T2m,WS10m,Int
20230717:1210,686.0,966.6,64.31,31.69,1.1,0.0
20230717:1310,639.21,895.83,58.09,32.23,0.97,0.0
20230717:1410,544.5,748.01,49.13,32.62,1.1,0.0
20230717:1510,414.72,562.54,39.03,32.75,1.31,0.0
20230717:1610,248.53,350.64,28.54,32.51,1.66,0.0
20230717:1710,80.04,146.39,18.12,32.12,1.86,0.0
20230717:1810,21.21,41.95,8.08,30.81,1.52,0.0
20230717:1910,0.0,0.0,0.0,29.78,1.31,0.0
20230717:2010,0.0,0.0,0.0,27.84,1.93,0.0
20230717:2110,0.0,0.0,0.0,26.78,2.28,0.0
20230717:2210,0.0,0.0,0.0,26.04,2.48,0.0
20230717:2310,0.0,0.0,0.0,25.5,2.76,0.0
20230718:0010,0.0,0.0,0.0,24.97,2.83,0.0
20230718:0110,0.0,0.0,0.0,24.43,2.69,0.0
20230718:0210,0.0,0.0,0.0,23.89,2.34,0.0
20230718:0310,0.0,0.0,0.0,23.34,2.14,0.0
20230718:0410,0.0,1.68,2.05,22.84,2.0,0.0
20230718:0510,39.76,65.44,11.7,23.25,1.86,0.0
20230718:0610,112.67,178.91,21.93,25.1,1.79,0.0
20230718:0710,276.81,374.58,32.42,26.04,1.03,0.0
20230718:0810,432.54,580.02,42.82,27.62,0.28,0.0
20230718:0910,558.33,761.28,52.6,29.07,0.62,0.0
20230718:1010,646.48,892.27,60.74,30.36,1.24,0.0
20230718:1110,588.17,805.35,65.29,31.4,1.66,0.0
20230718:1210,676.6,927.38,64.15,32.15,2.55,0.0
20230718:1310,582.47,792.38,57.96,32.75,2.34,0.0
20230718:1410,346.16,465.81,49.02,32.73,1.86,0.0
20230718:1510,269.26,363.29,38.93,32.61,2.28,0.0
20230718:1610,241.16,338.2,28.45,32.55,2.28,0.0
20230718:1710,82.51,145.4,18.02,32.05,2.28,0.0
20230718:1810,21.77,42.79,7.97,31.11,2.0,0.0
20230718:1910,0.0,0.0,0.0,29.93,1.79,0.0
20230718:2010,0.0,0.0,0.0,28.72,1.86,0.0
20230718:2110,0.0,0.0,0.0,27.73,1.66,0.0
20230718:2210,0.0,0.0,0.0,27.01,1.1,0.0
20230718:2310,0.0,0.0,0.0,26.64,1.17,0.0
20230719:0010,0.0,0.0,0.0,26.24,1.79,0.0
20230719:0110,0.0,0.0,0.0,25.8,3.86,0.0
20230719:0210,0.0,0.0,0.0,25.25,3.66,0.0
20230719:0310,0.0,0.0,0.0,24.57,3.24,0.0
20230719:0410,0.0,0.84,1.9,24.02,2.97,0.0
20230719:0510,39.69,65.44,11.56,23.69,2.41,0.0
20230719:0610,23.01,43.41,21.8,24.66,2.14,0.0
20230719:0710,263.28,355.9,32.29,26.57,1.1,0.0
20230719:0810,393.0,524.97,42.68,27.83,0.41,0.0
20230719:0910,548.55,755.83,52.45,29.25,0.14,0.0
20230719:1010,625.75,875.43,60.57,30.52,0.55,0.0
20230719:1110,631.99,888.7,65.11,31.62,0.76,0.0
20230719:1210,640.47,900.3,63.99,32.75,1.1,0.0
20230719:1310,602.63,834.58,57.82,33.43,1.59,0.0
20230719:1410,511.05,692.24,48.91,34.06,2.41,0.0
20230719:1510,396.62,536.98,38.82,33.19,1.59,0.0
20230719:1610,159.58,225.47,28.34,33.06,1.31,0.0
20230719:1710,73.52,114.68,17.91,31.75,1.66,0.0
20230719:1810,21.24,41.95,7.85,30.63,1.72,0.0
20230719:1910,0.0,0.0,0.0,28.64,3.31,0.0
20230719:2010,0.0,0.0,0.0,25.88,2.48,0.0
20230719:2110,0.0,0.0,0.0,24.72,1.93,0.0
20230719:2210,0.0,0.0,0.0,23.92,1.79,0.0
20230719:2310,0.0,0.0,0.0,23.3,1.79,0.0
20230720:0010,0.0,0.0,0.0,22.92,1.72,0.0
20230720:0110,0.0,0.0,0.0,22.46,2.07,0.0
20230720:0210,0.0,0.0,0.0,22.03,2.34,0.0
20230720:0310,0.0,0.0,0.0,21.54,2.07,0.0
20230720:0410,0.0,0.84,1.75,21.05,1.66,0.0
20230720:0510,38.2,62.92,11.42,21.11,1.1,0.0
20230720:0610,108.61,177.92,21.66,22.97,0.76,0.0
20230720:0710,284.79,385.28,32.15,24.03,0.21,0.0
20230720:0810,450.51,599.24,42.55,25.27,0.14,0.0
20230720:0910,577.41,783.92,52.3,26.89,0.41,0.0
20230720:1010,662.78,910.22,60.41,28.4,1.1,0.0
20230720:1110,704.16,969.8,64.92,29.32,1.66,0.0
20230720:1210,704.63,970.57,63.82,30.32,1.93,0.0
20230720:1310,658.2,898.69,57.68,30.98,2.07,0.0
20230720:1410,558.25,750.48,48.79,31.45,2.21,0.0
20230720:1510,424.9,567.41,38.71,31.6,2.28,0.0
20230720:1610,251.8,351.93,28.23,31.42,2.21,0.0
20230720:1710,80.57,145.91,17.8,30.24,2.21,0.0
20230720:1810,20.82,41.11,7.73,29.27,2.48,0.0
20230720:1910,0.0,0.0,0.0,28.01,2.9,0.0
20230720:2010,0.0,0.0,0.0,27.07,2.69,0.0
20230720:2110,0.0,0.0,0.0,24.39,1.24,0.0
20230720:2210,0.0,0.0,0.0,24.11,1.79,0.0
20230720:2310,0.0,0.0,0.0,22.55,0.62,0.0
20230721:0010,0.0,0.0,0.0,20.77,0.62,0.0
20230721:0110,0.0,0.0,0.0,20.32,1.66,0.0
20230721:0210,0.0,0.0,0.0,19.9,0.9,0.0
20230721:0310,0.0,0.0,0.0,19.77,1.31,0.0
20230721:0410,0.0,0.84,1.6,19.47,0.9,0.0
20230721:0510,39.77,64.6,11.28,19.84,1.17,0.0
20230721:0610,114.42,177.28,21.52,20.13,0.9,0.0
20230721:0710,286.9,375.0,32.02,20.38,2.07,0.0
20230721:0810,40.88,66.02,42.41,20.19,2.28,0.0
20230721:0910,42.24,67.83,52.15,20.34,1.79,0.0
20230721:1010,690.65,898.16,60.23,20.59,1.86,0.0
20230721:1110,563.77,727.71,64.74,21.55,1.86,0.0
20230721:1210,649.04,859.5,63.64,21.9,1.1,0.0
20230721:1310,664.77,881.86,57.53,21.82,0.97,0.0
20230721:1410,547.74,722.89,48.66,23.48,0.62,0.0
20230721:1510,430.05,553.75,38.59,23.62,1.86,0.0
20230721:1610,243.86,329.23,28.12,23.75,0.9,0.0
20230721:1710,87.85,135.47,17.68,23.99,0.14,0.0
20230721:1810,16.07,33.56,7.61,23.97,0.76,0.0
20230721:1910,0.0,0.0,0.0,24.14,2.0,0.0
20230721:2010,0.0,0.0,0.0,22.92,1.24,0.0
20230721:2110,0.0,0.0,0.0,22.25,0.9,0.0
20230721:2210,0.0,0.0,0.0,21.15,1.52,0.0
20230721:2310,0.0,0.0,0.0,20.87,2.07,0.0
20230722:0010,0.0,0.0,0.0,20.55,1.93,0.0
20230722:0110,0.0,0.0,0.0,19.96,1.86,0.0
20230722:0210,0.0,0.0,0.0,19.51,1.86,0.0
20230722:0310,0.0,0.0,0.0,19.28,1.66,0.0
20230722:0410,0.0,0.84,1.45,19.2,1.52,0.0
20230722:0510,37.93,62.08,11.13,19.19,1.31,0.0
20230722:0610,116.15,166.23,21.38,19.71,1.38,0.0
20230722:0710,218.04,285.62,31.88,20.22,0.69,0.0
20230722:0810,39.19,64.21,42.26,21.15,0.83,0.0
20230722:0910,409.12,529.48,51.99,22.3,0.76,0.0
20230722:1010,671.64,911.1,60.06,23.83,0.62,0.0
20230722:1110,709.72,977.37,64.54,25.29,0.76,0.0
20230722:1210,706.08,971.45,63.46,26.25,0.97,0.0
20230722:1310,658.77,890.44,57.37,27.03,1.45,0.0
20230722:1410,552.66,743.45,48.53,27.54,0.83,0.0
20230722:1510,420.38,562.4,38.47,27.89,0.48,0.0
20230722:1610,252.18,348.71,28.0,27.93,0.83,0.0
20230722:1710,83.37,146.01,17.55,27.58,1.72,0.0
20230722:1810,19.94,39.43,7.48,26.49,2.0,0.0
20230722:1910,0.0,0.0,0.0,25.07,2.07,0.0
20230722:2010,0.0,0.0,0.0,23.98,2.21,0.0
20230722:2110,0.0,0.0,0.0,23.19,2.14,0.0
20230722:2210,0.0,0.0,0.0,22.65,2.0,0.0
20230722:2310,0.0,0.0,0.0,22.23,1.86,0.0
20230723:0010,0.0,0.0,0.0,21.44,1.59,0.0
20230723:0110,0.0,0.0,0.0,20.23,2.21,0.0
20230723:0210,0.0,0.0,0.0,19.21,1.79,0.0
20230723:0310,0.0,0.0,0.0,18.97,0.69,0.0
20230723:0410,0.0,0.0,0.0,18.69,0.97,0.0
20230723:0510,37.31,61.24,10.99,18.93,1.03,0.0
20230723:0610,116.79,170.36,21.24,19.64,1.38,0.0
20230723:0710,132.6,179.28,31.74,21.12,1.24,0.0
20230723:0810,307.43,398.0,42.12,22.5,0.76,0.0
20230723:0910,415.44,543.76,51.84,23.95,0.55,0.0
20230723:1010,460.01,606.64,59.88,24.89,0.76,0.0
20230723:1110,597.03,801.92,64.34,26.1,1.17,0.0
20230723:1210,518.07,695.34,63.27,26.96,0.83,0.0
20230723:1310,607.14,831.89,57.21,27.77,0.62,0.0
20230723:1410,526.68,716.38,48.39,28.2,0.28,0.0
20230723:1510,417.65,561.16,38.34,28.6,0.41,0.0
20230723:1610,250.24,346.26,27.87,28.58,1.24,0.0
20230723:1710,83.65,145.19,17.43,28.16,1.86,0.0
20230723:1810,20.48,40.27,7.34,27.01,2.28,0.0
20230723:1910,0.0,0.0,0.0,26.16,2.0,0.0
20230723:2010,0.0,0.0,0.0,24.83,1.24,0.0
20230723:2110,0.0,0.0,0.0,25.41,0.28,0.0
20230723:2210,0.0,0.0,0.0,24.62,0.41,0.0
20230723:2310,0.0,0.0,0.0,23.78,0.76,0.0
20230724:0010,0.0,0.0,0.0,22.5,1.1,0.0
20230724:0110,0.0,0.0,0.0,22.06,1.1,0.0
20230724:0210,0.0,0.0,0.0,21.93,1.03,0.0
20230724:0310,0.0,0.0,0.0,21.93,0.83,0.0
20230724:0410,0.0,0.0,0.0,22.33,0.21,0.0
20230724:0510,30.24,52.85,10.84,22.35,0.21,0.0
20230724:0610,9.4,23.52,21.1,23.63,0.62,0.0
20230724:0710,246.43,328.62,31.6,24.64,1.38,0.0
20230724:0810,289.31,377.4,41.97,25.64,1.93,0.0
20230724:0910,479.38,628.57,51.67,26.78,1.86,0.0
20230724:1010,347.22,456.92,59.69,27.44,1.66,0.0
20230724:1110,145.53,200.78,64.14,28.13,1.59,0.0
20230724:1210,87.09,127.53,63.07,28.34,1.86,0.0
20230724:1310,51.44,82.3,57.04,28.93,1.86,0.0
20230724:1410,460.32,608.49,48.24,28.94,1.93,0.0
20230724:1510,190.19,256.54,38.21,28.67,2.34,0.0
20230724:1610,187.53,256.17,27.74,28.26,2.48,0.0
20230724:1710,84.31,142.18,17.29,26.93,2.28,0.0
20230724:1810,18.3,36.91,7.2,25.48,3.66,0.0
20230724:1910,0.0,0.0,0.0,22.48,2.07,0.0
20230724:2010,0.0,0.0,0.0,21.0,2.21,0.0
20230724:2110,0.0,0.0,0.0,20.16,2.34,0.0
20230724:2210,0.0,0.0,0.0,20.12,1.1,0.0
20230724:2310,0.0,0.0,0.0,19.39,1.24,0.0
20230725:0010,0.0,0.0,0.0,19.15,0.62,0.0
20230725:0110,0.0,0.0,0.0,18.89,0.83,0.0
20230725:0210,0.0,0.0,0.0,18.68,1.45,0.0
20230725:0310,0.0,0.0,0.0,18.74,1.24,0.0
20230725:0410,0.0,0.0,0.0,18.54,0.97,0.0
20230725:0510,8.57,21.81,10.69,18.71,1.03,0.0
20230725:0610,107.42,174.25,20.95,18.92,1.17,0.0
20230725:0710,272.29,355.58,31.45,20.48,1.79,0.0
20230725:0810,467.47,595.94,41.82,21.56,1.93,0.0
20230725:0910,581.27,746.92,51.51,22.54,2.34,0.0
20230725:1010,656.15,854.61,59.5,22.94,2.34,0.0
20230725:1110,727.47,973.34,63.93,24.23,1.86,0.0
20230725:1210,668.01,892.83,62.87,25.38,1.79,0.0
20230725:1310,338.43,443.04,56.87,25.96,1.38,0.0
20230725:1410,288.67,381.82,48.09,26.42,0.55,0.0
20230725:1510,358.7,475.28,38.07,26.59,0.41,0.0
20230725:1610,230.91,316.33,27.6,26.82,0.62,0.0
20230725:1710,80.11,144.95,17.15,26.74,0.83,0.0
20230725:1810,18.23,36.91,7.05,25.9,1.31,0.0
20230725:1910,0.0,0.0,0.0,24.34,2.0,0.0
20230725:2010,0.0,0.0,0.0,23.13,2.76,0.0
20230725:2110,0.0,0.0,0.0,23.15,4.0,0.0
20230725:2210,0.0,0.0,0.0,23.07,4.97,0.0
20230725:2310,0.0,0.0,0.0,22.44,5.24,0.0
20230726:0010,0.0,0.0,0.0,21.68,5.24,0.0
20230726:0110,0.0,0.0,0.0,20.83,5.03,0.0
20230726:0210,0.0,0.0,0.0,20.06,4.62,0.0
20230726:0310,0.0,0.0,0.0,19.17,3.79,0.0
20230726:0410,0.0,0.0,0.0,18.45,3.45,0.0
20230726:0510,28.44,49.5,10.53,18.13,3.45,0.0
20230726:0610,107.23,180.16,20.81,19.18,3.31,0.0
20230726:0710,313.53,408.35,31.31,21.12,4.07,0.0
20230726:0810,502.3,632.17,41.67,22.55,4.41,0.0
20230726:0910,644.5,824.51,51.34,23.84,3.93,0.0
20230726:1010,729.49,962.13,59.31,24.92,2.9,0.0
20230726:1110,761.08,1026.65,63.71,25.84,2.28,0.0
20230726:1210,738.41,1003.86,62.66,26.49,1.86,0.0
20230726:1310,687.34,936.18,56.69,26.82,1.31,0.0
20230726:1410,588.87,795.92,47.93,27.26,0.83,0.0
20230726:1510,448.39,600.6,37.92,27.5,0.48,0.0
20230726:1610,267.74,372.67,27.46,27.62,0.21,0.0
20230726:1710,80.55,149.32,17.0,27.25,0.76,0.0
20230726:1810,16.53,34.4,6.89,25.42,1.38,0.0
20230726:1910,0.0,0.0,0.0,24.81,0.62,0.0
20230726:2010,0.0,0.0,0.0,20.99,1.86,0.0
20230726:2110,0.0,0.0,0.0,19.83,2.9,0.0
20230726:2210,0.0,0.0,0.0,19.31,3.24,0.0
20230726:2310,0.0,0.0,0.0,18.5,3.03,0.0
20230727:0010,0.0,0.0,0.0,17.75,2.9,0.0
20230727:0110,0.0,0.0,0.0,17.16,2.9,0.0
20230727:0210,0.0,0.0,0.0,16.82,2.76,0.0
20230727:0310,0.0,0.0,0.0,16.67,2.76,0.0
20230727:0410,0.0,0.0,0.0,16.59,2.69,0.0
20230727:0510,29.22,50.34,10.38,17.04,2.34,0.0
20230727:0610,105.01,176.64,20.66,18.84,2.07,0.0
20230727:0710,266.02,344.33,31.16,20.12,2.9,0.0
20230727:0810,430.27,542.1,41.51,21.33,3.17,0.0
20230727:0910,600.56,768.35,51.17,22.44,2.83,0.0
20230727:1010,699.2,918.56,59.11,23.36,2.28,0.0
20230727:1110,706.81,944.11,63.49,24.36,1.86,0.0
20230727:1210,708.26,961.27,62.45,25.2,1.31,0.0
20230727:1310,662.26,896.83,56.5,25.67,1.03,0.0
20230727:1410,569.92,756.93,47.77,25.94,1.17,0.0
20230727:1510,442.82,580.84,37.77,26.1,1.38,0.0
20230727:1610,264.12,359.53,27.31,25.87,1.93,0.0
20230727:1710,80.07,144.95,16.85,25.44,2.14,0.0
20230727:1810,17.22,35.24,6.73,24.31,2.14,0.0
20230727:1910,0.0,0.0,0.0,22.97,2.14,0.0
20230727:2010,0.0,0.0,0.0,21.6,1.93,0.0
20230727:2110,0.0,0.0,0.0,20.38,1.66,0.0
20230727:2210,0.0,0.0,0.0,19.82,1.24,0.0
20230727:2310,0.0,0.0,0.0,20.87,0.69,0.0
20230728:0010,0.0,0.0,0.0,20.44,0.14,0.0
20230728:0110,0.0,0.0,0.0,19.7,0.69,0.0
20230728:0210,0.0,0.0,0.0,19.01,0.69,0.0
20230728:0310,0.0,0.0,0.0,18.85,0.55,0.0
20230728:0410,0.0,0.0,0.0,18.06,0.76,0.0
20230728:0510,25.9,46.14,10.22,17.65,0.97,0.0
20230728:0610,108.85,172.96,20.5,20.21,0.9,0.0
20230728:0710,292.53,388.41,31.01,21.81,1.1,0.0
20230728:0810,465.47,604.41,41.35,23.11,1.03,0.0
20230728:0910,594.55,793.0,51.0,24.27,0.69,0.0
20230728:1010,673.99,922.45,58.91,25.28,0.62,0.0
20230728:1110,717.3,989.37,63.27,26.24,0.97,0.0
20230728:1210,677.99,932.17,62.23,27.03,0.97,0.0
20230728:1310,656.04,901.03,56.31,28.12,0.97,0.0
20230728:1410,544.37,737.81,47.6,28.66,0.69,0.0
20230728:1510,412.86,553.63,37.61,28.73,0.55,0.0
20230728:1610,247.02,340.96,27.16,28.24,1.17,0.0
20230728:1710,81.33,126.76,16.7,27.42,1.66,0.0
20230728:1810,16.48,34.4,6.57,25.98,1.86,0.0
20230728:1910,0.0,0.0,0.0,24.5,2.62,0.0
20230728:2010,0.0,0.0,0.0,23.45,2.55,0.0
20230728:2110,0.0,0.0,0.0,22.5,2.48,0.0
20230728:2210,0.0,0.0,0.0,21.62,2.34,0.0
20230728:2310,0.0,0.0,0.0,20.94,2.28,0.0
20230729:0010,0.0,0.0,0.0,20.36,2.14,0.0
20230729:0110,0.0,0.0,0.0,19.67,1.79,0.0
20230729:0210,0.0,0.0,0.0,19.2,1.59,0.0
20230729:0310,0.0,0.0,0.0,19.07,1.38,0.0
20230729:0410,0.0,0.0,0.0,18.95,1.1,0.0
20230729:0510,32.01,54.53,10.06,19.4,0.62,0.0
20230729:0610,104.23,170.93,20.35,21.13,0.34,0.0
20230729:0710,282.52,378.65,30.85,23.37,0.83,0.0
20230729:0810,446.28,582.95,41.19,24.44,0.97,0.0
20230729:0910,544.03,721.28,50.82,25.44,0.97,0.0
20230729:1010,573.32,767.32,58.71,26.47,1.17,0.0
20230729:1110,510.92,680.81,63.04,27.07,1.24,0.0
20230729:1210,615.15,834.58,62.0,28.22,1.38,0.0
20230729:1310,621.59,852.14,56.11,28.89,0.97,0.0
20230729:1410,448.78,607.9,47.42,29.17,0.21,0.0
20230729:1510,351.01,468.08,37.45,29.38,1.03,0.0
20230729:1610,113.24,160.92,27.0,28.42,1.45,0.0
20230729:1710,78.5,139.29,16.53,27.45,1.79,0.0
20230729:1810,15.32,32.72,6.4,26.09,1.59,0.0
20230729:1910,0.0,0.0,0.0,25.74,0.69,0.0
20230729:2010,0.0,0.0,0.0,23.86,1.24,0.0
20230729:2110,0.0,0.0,0.0,22.97,2.0,0.0
20230729:2210,0.0,0.0,0.0,22.76,2.55,0.0
20230729:2310,0.0,0.0,0.0,22.34,2.83,0.0
20230730:0010,0.0,0.0,0.0,21.78,2.69,0.0
20230730:0110,0.0,0.0,0.0,21.28,2.48,0.0
20230730:0210,0.0,0.0,0.0,20.97,2.28,0.0
20230730:0310,0.0,0.0,0.0,20.48,2.07,0.0
20230730:0410,0.0,0.0,0.0,19.97,2.0,0.0
20230730:0510,28.14,49.5,9.89,19.92,1.66,0.0
20230730:0610,103.39,171.41,20.19,21.81,1.59,0.0
20230730:0710,290.59,387.26,30.7,22.66,1.17,0.0
20230730:0810,462.66,598.19,41.03,24.17,1.79,0.0
20230730:0910,582.9,763.75,50.64,25.44,2.0,0.0
20230730:1010,527.94,697.93,58.5,26.73,1.72,0.0
20230730:1110,621.06,840.89,62.8,27.83,1.45,0.0
20230730:1210,685.28,945.73,61.77,28.89,1.31,0.0
20230730:1310,652.31,903.2,55.91,29.66,0.97,0.0
20230730:1410,543.88,743.13,47.24,30.2,0.69,0.0
20230730:1510,418.93,566.08,37.28,30.35,0.62,0.0
20230730:1610,227.99,318.48,26.83,30.48,0.62,0.0
20230730:1710,78.76,139.37,16.37,30.33,0.48,0.0
20230730:1810,15.11,32.72,6.22,28.47,0.62,0.0
20230730:1910,0.0,0.0,0.0,26.58,2.07,0.0
20230730:2010,0.0,0.0,0.0,24.91,1.86,0.0
20230730:2110,0.0,0.0,0.0,23.58,1.52,0.0
20230730:2210,0.0,0.0,0.0,22.72,1.45,0.0
20230730:2310,0.0,0.0,0.0,21.81,1.72,0.0
20230731:0010,0.0,0.0,0.0,21.32,1.79,0.0
20230731:0110,0.0,0.0,0.0,21.12,2.07,0.0
20230731:0210,0.0,0.0,0.0,21.19,2.62,0.0
20230731:0310,0.0,0.0,0.0,21.24,2.69,0.0
20230731:0410,0.0,0.0,0.0,20.96,2.34,0.0
20230731:0510,31.19,53.69,9.73,20.82,1.93,0.0
20230731:0610,74.93,109.88,20.04,21.71,1.52,0.0
20230731:0710,180.7,239.96,30.54,23.1,2.41,0.0
20230731:0810,286.05,367.97,40.87,23.86,2.97,0.0
20230731:0910,571.3,735.09,50.46,24.52,3.03,0.0
20230731:1010,557.34,721.06,58.29,25.45,3.24,0.0
20230731:1110,580.45,757.17,62.56,26.26,3.17,0.0
20230731:1210,670.33,885.58,61.54,26.88,3.1,0.0
20230731:1310,634.27,837.22,55.7,27.79,3.03,0.0
20230731:1410,555.24,727.25,47.05,28.25,2.97,0.0
20230731:1510,399.92,523.55,37.11,28.56,2.69,0.0
20230731:1610,250.24,344.06,26.66,28.49,2.41,0.0
20230731:1710,76.06,138.15,16.19,27.21,1.59,0.0
20230731:1810,14.73,31.88,6.04,26.22,0.34,0.0
20230731:1910,0.0,0.0,0.0,25.52,1.86,0.0
20230731:2010,0.0,0.0,0.0,24.63,1.93,0.0
20230731:2110,0.0,0.0,0.0,23.98,2.0,0.0
20230731:2210,0.0,0.0,0.0,23.5,2.0,0.0
20230731:2310,0.0,0.0,0.0,23.06,2.14,0.0
20230801:0010,0.0,0.0,0.0,22.8,2.14,0.0
20230801:0110,0.0,0.0,0.0,22.61,1.93,0.0
20230801:0210,0.0,0.0,0.0,22.3,1.79,0.0
20230801:0310,0.0,0.0,0.0,21.93,1.86,0.0
20230801:0410,0.0,0.0,0.0,21.65,1.79,0.0
20230801:0510,3.04,12.58,9.56,21.54,1.66,0.0
20230801:0610,80.03,117.11,19.88,22.35,1.38,0.0
20230801:0710,68.12,101.3,30.38,22.99,1.17,0.0
20230801:0810,108.49,151.95,40.7,24.26,1.1,0.0
20230801:0910,146.47,199.88,50.27,25.51,1.17,0.0
20230801:1010,162.56,220.68,58.07,26.42,1.31,0.0
20230801:1110,442.14,586.43,62.32,27.15,1.1,0.0
20230801:1210,233.62,312.91,61.29,27.4,0.62,0.0
20230801:1310,546.7,733.78,55.48,28.04,1.24,0.0
20230801:1410,491.79,649.64,46.86,28.35,1.86,0.0
20230801:1510,290.79,381.08,36.93,27.09,2.14,0.0
20230801:1610,259.48,355.0,26.49,27.4,2.62,0.0
20230801:1710,77.98,123.52,16.01,27.14,2.34,0.0
20230801:1810,13.6,30.2,5.85,26.43,1.93,0.0
20230801:1910,0.0,0.0,0.0,25.12,1.31,0.0
20230801:2010,0.0,0.0,0.0,23.5,1.38,0.0
20230801:2110,0.0,0.0,0.0,22.41,1.38,0.0
20230801:2210,0.0,0.0,0.0,21.48,1.45,0.0
20230801:2310,0.0,0.0,0.0,21.0,1.31,0.0
20230802:0010,0.0,0.0,0.0,20.75,1.03,0.0
20230802:0110,0.0,0.0,0.0,21.07,0.62,0.0
20230802:0210,0.0,0.0,0.0,21.23,0.21,0.0
20230802:0310,0.0,0.0,0.0,20.8,0.48,0.0
20230802:0410,0.0,0.0,0.0,19.73,1.72,0.0
20230802:0510,20.59,39.43,9.4,20.59,2.55,0.0
20230802:0610,106.36,157.01,19.72,21.57,3.1,0.0
20230802:0710,175.49,231.7,30.22,22.27,3.79,0.0
20230802:0810,408.55,517.48,40.53,23.2,3.66,0.0
20230802:0910,609.58,779.47,50.08,24.35,3.79,0.0
20230802:1010,621.69,807.53,57.85,25.71,3.45,0.0
20230802:1110,683.91,908.2,62.07,26.87,2.83,0.0
20230802:1210,619.07,828.19,61.05,28.08,2.21,0.0
20230802:1310,529.18,698.2,55.26,28.61,2.62,0.0
20230802:1410,260.95,343.18,46.66,28.39,3.66,0.0
20230802:1510,409.52,531.28,36.74,28.27,3.79,0.0
20230802:1610,210.21,285.49,26.3,28.01,3.86,0.0
20230802:1710,51.16,81.95,15.83,27.53,3.17,0.0
20230802:1810,0.01,5.87,5.66,26.64,2.48,0.0
20230802:1910,0.0,0.0,0.0,25.11,1.1,0.0
20230802:2010,0.0,0.0,0.0,24.6,0.48,0.0
20230802:2110,0.0,0.0,0.0,23.97,0.41,0.0
20230802:2210,0.0,0.0,0.0,22.58,1.03,0.0
20230802:2310,0.0,0.0,0.0,21.9,1.17,0.0
20230803:0010,0.0,0.0,0.0,22.18,0.76,0.0
20230803:0110,0.0,0.0,0.0,21.9,0.69,0.0
20230803:0210,0.0,0.0,0.0,20.69,1.03,0.0
20230803:0310,0.0,0.0,0.0,21.5,0.34,0.0
20230803:0410,0.0,0.0,0.0,20.93,0.69,0.0
20230803:0510,29.21,51.18,9.23,21.02,0.69,0.0
20230803:0610,100.43,167.4,19.55,22.49,0.9,0.0
20230803:0710,278.44,371.64,30.06,23.62,1.31,0.0
20230803:0810,428.22,559.01,40.36,24.75,1.03,0.0
20230803:0910,381.89,501.19,49.89,25.82,0.9,0.0
20230803:1010,581.37,781.59,57.63,27.1,1.17,0.0
20230803:1110,425.56,563.66,61.81,28.07,1.52,0.0
20230803:1210,536.13,713.7,60.79,28.76,2.14,0.0
20230803:1310,353.75,468.13,55.03,29.6,2.14,0.0
20230803:1410,309.3,410.03,46.46,30.23,2.41,0.0
20230803:1510,399.57,526.66,36.55,29.86,2.62,0.0
20230803:1610,246.94,341.01,26.12,29.4,2.48,0.0
20230803:1710,74.0,134.46,15.64,28.71,1.93,0.0
20230803:1810,12.45,28.52,5.46,26.95,1.66,0.0
20230803:1910,0.0,0.0,0.0,24.96,2.83,0.0
20230803:2010,0.0,0.0,0.0,23.98,2.69,0.0
20230803:2110,0.0,0.0,0.0,23.29,2.21,0.0
20230803:2210,0.0,0.0,0.0,22.15,1.59,0.0
20230803:2310,0.0,0.0,0.0,21.78,2.48,0.0
20230804:0010,0.0,0.0,0.0,21.32,2.69,0.0
20230804:0110,0.0,0.0,0.0,20.69,2.48,0.0
20230804:0210,0.0,0.0,0.0,20.15,2.21,0.0
20230804:0310,0.0,0.0,0.0,19.3,2.9,0.0
20230804:0410,0.0,0.0,0.0,18.76,2.97,0.0
20230804:0510,8.57,21.81,9.05,18.79,2.69,0.0
20230804:0610,35.3,58.79,19.39,19.83,2.28,0.0
20230804:0710,208.73,275.17,29.89,22.27,1.72,0.0
20230804:0810,267.6,346.04,40.19,23.72,2.28,0.0
20230804:0910,569.76,734.1,49.7,23.71,2.55,0.0
20230804:1010,413.19,530.93,57.4,24.39,2.69,0.0
20230804:1110,330.53,428.8,61.56,24.44,1.72,0.0
20230804:1210,320.06,414.6,60.53,22.68,0.9,0.0
20230804:1310,163.9,217.97,54.8,22.21,1.52,0.0
20230804:1410,530.66,668.6,46.25,21.87,3.59,0.0
20230804:1510,97.35,135.67,36.35,21.07,3.66,0.0
20230804:1610,43.57,69.64,25.93,20.96,2.55,0.0
20230804:1710,43.14,69.24,15.44,20.43,1.24,0.0
20230804:1810,1.04,8.39,5.26,19.49,2.0,0.0
20230804:1910,0.0,0.0,0.0,19.89,1.66,0.0
20230804:2010,0.0,0.0,0.0,19.23,1.24,0.0
20230804:2110,0.0,0.0,0.0,19.39,0.69,0.0
20230804:2210,0.0,0.0,0.0,19.49,0.07,0.0
20230804:2310,0.0,0.0,0.0,18.59,1.17,0.0
20230805:0010,0.0,0.0,0.0,18.58,1.86,0.0
20230805:0110,0.0,0.0,0.0,18.37,2.21,0.0
20230805:0210,0.0,0.0,0.0,18.18,2.55,0.0
20230805:0310,0.0,0.0,0.0,18.02,2.62,0.0
20230805:0410,0.0,0.0,0.0,17.7,2.62,0.0
20230805:0510,23.4,42.79,8.88,17.79,2.69,0.0
