time,P,G(i),H_sun,T2m,WS10m,Int
20230108:0510,0.0,0.0,0.0,7.26,1.66,0.0
20230108:0610,0.0,0.0,0.0,7.08,1.72,0.0
20230108:0710,0.0,0.0,0.0,6.92,1.24,0.0
20230108:0810,3.4,12.66,8.59,7.11,1.31,0.0
20230108:0910,38.32,59.69,15.27,7.36,1.52,0.0
20230108:1010,51.12,75.07,19.94,7.5,1.45,0.0
20230108:1110,31.61,51.55,22.15,7.75,1.38,0.0
20230108:1210,53.3,77.78,21.65,7.85,1.17,0.0
20230108:1310,26.53,45.22,18.5,7.88,1.17,0.0
20230108:1410,47.25,70.55,13.04,8.15,1.38,0.0
20230108:1510,29.18,48.5,5.75,8.23,1.72,0.0
20230108:1610,0.0,0.0,0.0,8.16,1.66,0.0
20230108:1710,0.0,0.0,0.0,8.1,1.45,0.0
20230108:1810,0.0,0.0,0.0,8.05,1.38,0.0
20230108:1910,0.0,0.0,0.0,7.19,1.86,0.0
20230108:2010,0.0,0.0,0.0,7.24,2.07,0.0
20230108:2110,0.0,0.0,0.0,7.36,1.93,0.0
20230108:2210,0.0,0.0,0.0,7.39,2.0,0.0
20230108:2310,0.0,0.0,0.0,7.25,2.14,0.0
20230109:0010,0.0,0.0,0.0,7.08,1.86,0.0
20230109:0110,0.0,0.0,0.0,7.04,1.66,0.0
20230109:0210,0.0,0.0,0.0,7.0,1.31,0.0
20230109:0310,0.0,0.0,0.0,7.05,1.72,0.0
20230109:0410,0.0,0.0,0.0,6.99,2.21,0.0
20230109:0510,0.0,0.0,0.0,6.73,2.41,0.0
20230109:0610,0.0,0.0,0.0,6.41,2.41,0.0
20230109:0710,0.0,0.0,0.0,6.16,2.07,0.0
20230109:0810,300.45,355.25,8.66,6.09,2.34,0.0
20230109:0910,520.5,603.82,15.36,6.37,3.38,0.0
20230109:1010,658.22,771.41,20.05,7.62,4.0,0.0
20230109:1110,710.9,842.59,22.28,9.33,4.34,0.0
20230109:1210,640.74,761.84,21.8,10.31,3.79,0.0
20230109:1310,635.14,757.54,18.66,11.0,3.66,0.0
20230109:1410,501.41,594.22,13.21,11.25,3.52,0.0
20230109:1510,252.35,306.57,5.92,10.68,2.97,0.0
20230109:1610,0.0,0.0,0.0,9.04,3.03,0.0
20230109:1710,0.0,0.0,0.0,7.8,3.1,0.0
20230109:1810,0.0,0.0,0.0,7.22,3.31,0.0
20230109:1910,0.0,0.0,0.0,7.04,3.38,0.0
20230109:2010,0.0,0.0,0.0,6.36,3.24,0.0
20230109:2110,0.0,0.0,0.0,5.75,3.24,0.0
20230109:2210,0.0,0.0,0.0,5.16,3.03,0.0
20230109:2310,0.0,0.0,0.0,4.33,2.76,0.0
20230110:0010,0.0,0.0,0.0,3.35,2.76,0.0
20230110:0110,0.0,0.0,0.0,2.73,2.83,0.0
20230110:0210,0.0,0.0,0.0,2.49,2.97,0.0
20230110:0310,0.0,0.0,0.0,2.48,3.03,0.0
20230110:0410,0.0,0.0,0.0,2.52,3.1,0.0
20230110:0510,0.0,0.0,0.0,2.49,3.31,0.0
20230110:0610,0.0,0.0,0.0,2.44,3.59,0.0
20230110:0710,0.0,0.0,0.0,3.81,3.38,0.0
20230110:0810,366.45,425.83,8.73,4.2,3.31,0.0
20230110:0910,552.22,643.53,15.45,6.25,3.03,0.0
20230110:1010,669.14,797.98,20.16,8.71,2.97,0.0
20230110:1110,719.35,868.0,22.42,10.47,3.31,0.0
20230110:1210,727.12,881.48,21.95,11.36,3.38,0.0
20230110:1310,631.53,758.19,18.83,11.73,3.38,0.0
20230110:1410,507.88,605.42,13.38,11.47,2.97,0.0
20230110:1510,267.2,323.47,6.09,10.3,2.69,0.0
20230110:1610,0.0,0.0,0.0,8.26,2.83,0.0
20230110:1710,0.0,0.0,0.0,6.66,2.55,0.0
20230110:1810,0.0,0.0,0.0,5.19,2.14,0.0
20230110:1910,0.0,0.0,0.0,3.89,2.14,0.0
20230110:2010,0.0,0.0,0.0,2.99,1.86,0.0
20230110:2110,0.0,0.0,0.0,2.26,1.86,0.0
20230110:2210,0.0,0.0,0.0,2.13,1.66,0.0
20230110:2310,0.0,0.0,0.0,2.18,1.45,0.0
20230111:0010,0.0,0.0,0.0,1.33,1.52,0.0
20230111:0110,0.0,0.0,0.0,1.6,1.31,0.0
20230111:0210,0.0,0.0,0.0,1.49,1.17,0.0
20230111:0310,0.0,0.0,0.0,1.33,1.17,0.0
20230111:0410,0.0,0.0,0.0,1.38,1.03,0.0
20230111:0510,0.0,0.0,0.0,1.95,0.76,0.0
20230111:0610,0.0,0.0,0.0,1.69,0.21,0.0
20230111:0710,0.0,0.0,0.0,1.58,0.62,0.0
20230111:0810,98.5,126.32,8.81,1.41,0.69,0.0
20230111:0910,348.13,404.73,15.55,2.93,0.69,0.0
20230111:1010,228.6,273.7,20.29,5.86,0.69,0.0
20230111:1110,322.0,384.69,22.56,7.91,0.48,0.0
20230111:1210,534.71,651.22,22.12,9.26,0.48,0.0
20230111:1310,438.96,528.78,19.0,9.98,0.69,0.0
20230111:1410,288.66,347.9,13.56,10.09,0.62,0.0
20230111:1510,151.66,191.55,6.27,9.53,0.69,0.0
20230111:1610,0.0,0.0,0.0,8.61,0.69,0.0
20230111:1710,0.0,0.0,0.0,7.9,0.55,0.0
20230111:1810,0.0,0.0,0.0,7.26,0.76,0.0
20230111:1910,0.0,0.0,0.0,4.98,1.31,0.0
20230111:2010,0.0,0.0,0.0,6.04,0.69,0.0
20230111:2110,0.0,0.0,0.0,5.3,0.9,0.0
20230111:2210,0.0,0.0,0.0,5.69,0.55,0.0
20230111:2310,0.0,0.0,0.0,4.7,0.97,0.0
20230112:0010,0.0,0.0,0.0,4.56,0.76,0.0
20230112:0110,0.0,0.0,0.0,4.17,0.83,0.0
20230112:0210,0.0,0.0,0.0,3.53,0.76,0.0
20230112:0310,0.0,0.0,0.0,2.03,1.17,0.0
20230112:0410,0.0,0.0,0.0,0.41,1.45,0.0
20230112:0510,0.0,0.0,0.0,-0.5,1.59,0.0
20230112:0610,0.0,0.0,0.0,-0.54,1.38,0.0
20230112:0710,0.0,0.0,0.0,-1.17,1.66,0.0
20230112:0810,154.74,186.64,8.89,-0.15,1.38,0.0
20230112:0910,305.79,355.61,15.66,2.95,0.97,0.0
20230112:1010,164.61,202.27,20.42,5.96,1.03,0.0
20230112:1110,702.2,860.95,22.72,7.66,1.1,0.0
20230112:1210,703.42,867.08,22.29,8.9,1.17,0.0
20230112:1310,352.38,421.7,19.18,9.78,0.97,0.0
20230112:1410,472.19,567.65,13.74,10.02,1.1,0.0
20230112:1510,258.42,313.58,6.45,9.44,1.52,0.0
20230112:1610,0.0,0.0,0.0,7.85,2.07,0.0
20230112:1710,0.0,0.0,0.0,5.94,2.0,0.0
20230112:1810,0.0,0.0,0.0,4.33,1.93,0.0
20230112:1910,0.0,0.0,0.0,3.15,1.72,0.0
20230112:2010,0.0,0.0,0.0,2.52,1.59,0.0
20230112:2110,0.0,0.0,0.0,2.57,1.45,0.0
20230112:2210,0.0,0.0,0.0,2.41,1.38,0.0
20230112:2310,0.0,0.0,0.0,2.61,1.24,0.0
20230113:0010,0.0,0.0,0.0,2.7,1.03,0.0
20230113:0110,0.0,0.0,0.0,2.57,0.83,0.0
20230113:0210,0.0,0.0,0.0,2.37,0.62,0.0
20230113:0310,0.0,0.0,0.0,2.19,0.62,0.0
20230113:0410,0.0,0.0,0.0,2.01,0.62,0.0
20230113:0510,0.0,0.0,0.0,2.17,0.28,0.0
20230113:0610,0.0,0.0,0.0,1.85,0.41,0.0
20230113:0710,0.0,0.0,0.0,1.57,0.41,0.0
20230113:0810,15.95,30.75,8.98,1.97,0.62,0.0
20230113:0910,87.94,115.64,15.77,3.65,0.76,0.0
20230113:1010,67.77,94.06,20.56,5.82,0.62,0.0
20230113:1110,444.02,527.79,22.88,7.26,0.83,0.0
20230113:1210,722.94,894.33,22.46,8.67,1.1,0.0
20230113:1310,532.51,642.22,19.36,9.53,1.1,0.0
20230113:1410,488.48,588.76,13.93,9.92,0.97,0.0
20230113:1510,271.24,329.54,6.64,9.53,1.03,0.0
20230113:1610,0.0,0.0,0.0,8.31,1.79,0.0
20230113:1710,0.0,0.0,0.0,6.09,2.0,0.0
20230113:1810,0.0,0.0,0.0,4.23,1.93,0.0
20230113:1910,0.0,0.0,0.0,3.27,2.14,0.0
20230113:2010,0.0,0.0,0.0,2.65,2.07,0.0
20230113:2110,0.0,0.0,0.0,1.78,2.21,0.0
20230113:2210,0.0,0.0,0.0,1.42,2.28,0.0
20230113:2310,0.0,0.0,0.0,1.02,2.34,0.0
20230114:0010,0.0,0.0,0.0,0.82,2.48,0.0
20230114:0110,0.0,0.0,0.0,0.65,2.55,0.0
20230114:0210,0.0,0.0,0.0,0.51,2.62,0.0
20230114:0310,0.0,0.0,0.0,0.34,2.41,0.0
20230114:0410,0.0,0.0,0.0,0.02,2.34,0.0
20230114:0510,0.0,0.0,0.0,-0.11,2.07,0.0
20230114:0610,0.0,0.0,0.0,-0.23,1.66,0.0
20230114:0710,0.0,0.0,0.0,-1.21,1.52,0.0
20230114:0810,334.98,391.29,9.08,0.43,0.21,0.0
20230114:0910,536.35,621.21,15.89,2.25,1.52,0.0
20230114:1010,641.68,752.43,20.7,4.82,2.41,0.0
20230114:1110,711.16,847.05,23.04,6.8,2.69,0.0
20230114:1210,681.33,814.97,22.65,8.35,2.69,0.0
20230114:1310,500.15,590.92,19.56,9.14,2.55,0.0
20230114:1410,500.66,593.74,14.12,9.39,2.28,0.0
20230114:1510,144.04,181.77,6.83,8.99,1.52,0.0
20230114:1610,0.0,0.0,0.0,7.66,1.52,0.0
20230114:1710,0.0,0.0,0.0,5.66,1.52,0.0
20230114:1810,0.0,0.0,0.0,4.62,1.52,0.0
20230114:1910,0.0,0.0,0.0,3.98,1.72,0.0
20230114:2010,0.0,0.0,0.0,4.21,1.38,0.0
20230114:2110,0.0,0.0,0.0,4.39,1.24,0.0
20230114:2210,0.0,0.0,0.0,3.88,1.31,0.0
20230114:2310,0.0,0.0,0.0,4.32,0.97,0.0
20230115:0010,0.0,0.0,0.0,4.37,0.83,0.0
20230115:0110,0.0,0.0,0.0,3.34,1.24,0.0
20230115:0210,0.0,0.0,0.0,3.65,1.03,0.0
20230115:0310,0.0,0.0,0.0,4.39,0.76,0.0
20230115:0410,0.0,0.0,0.0,4.49,0.69,0.0
20230115:0510,0.0,0.0,0.0,4.39,0.62,0.0
20230115:0610,0.0,0.0,0.0,4.34,0.62,0.0
20230115:0710,0.0,0.0,0.0,3.07,1.1,0.0
20230115:0810,11.16,24.42,9.19,3.85,0.48,0.0
20230115:0910,12.39,26.23,16.02,4.92,0.48,0.0
